Date,Category,Description,Amount,Type
2024-01-01,Salary,Monthly Salary - Software Engineer,6500,Income
2024-01-15,Freelance,Web Development Project,2500,Income
2024-02-01,Salary,Monthly Salary - Software Engineer,6500,Income
2024-02-15,Consulting,AI Consulting Work,3200,Income
2024-03-01,Salary,Monthly Salary - Software Engineer,6500,Income
2024-03-15,Investment,Stock Portfolio Returns,1800,Income
2024-04-01,Salary,Monthly Salary - Software Engineer,6500,Income
2024-04-15,Bonus,Performance Bonus Q1,4000,Income
2024-05-01,Salary,Monthly Salary - Software Engineer,6500,Income
2024-05-15,Side Project,Mobile App Revenue,1500,Income
2024-06-01,Salary,Monthly Salary - Software Engineer,6500,Income
2024-06-15,Dividend,Investment Dividend,800,Income
